"Chapter","Verse_Number","Text","Text_clean"
1,18,"Khalli nuur Allah yadkhul fi guluubku achaan ta’arfu tamaam al-baraka al-Allah naadaaku le talgooha wa battaan ta’arfu kubur al-baraka al-majiide al-gaa’ide fi usut naasah al-saalihiin.","khalli nuur allah yadkhul fi guluubku achaan taarfu tamaam albaraka alallah naadaaku le talgooha wa battaan taarfu kubur albaraka almajiide algaaide fi usut naasah alsaalihiin"
1,19,"Wa ta’arfu gudurtah al-ma indaha hadd al-gaa’ide takhdim leena aniina al-mu’miniin. Al-gudra di aziime wa hi al-gudra","wa taarfu gudurtah alma indaha hadd algaaide takhdim leena aniina almuminiin algudra di aziime wa hi algudra"
1,20,"al-Allah bayyanha fi l-Masiih wakit ba’asah min ust al-maytiin wa rafa’ah foog fi l-samaawaat wa ga’’adah fi nussah al-zeenaay.","alallah bayyanha fi lmasiih wakit baasah min ust almaytiin wa rafaah foog fi lsamaawaat wa gaadah fi nussah alzeenaay"
1,21,"Al-Masiih gaa’id fi bakaan aali bilheen foog min kulla l-hukkaam wa l-kubaaraat wa foog min kulla cheyy al-indah gudra walla muluk. Usmah aali min kulla usum al-naas yatruuh, ma fi l-zaman al-haadir bas laakin fi l-aakhira kula.","almasiih gaaid fi bakaan aali bilheen foog min kulla lhukkaam wa lkubaaraat wa foog min kulla cheyy alindah gudra walla muluk usmah aali min kulla usum alnaas yatruuh ma fi lzaman alhaadir bas laakin fi laakhira kula"
1,22,"Wa Allah khatta kulla cheyy tihit muluk al-Masiih wa ja’alah ra’iis fi kulla cheyy le faaydit ummatah.","wa allah khatta kulla cheyy tihit muluk almasiih wa jaalah raiis fi kulla cheyy le faaydit ummatah"
1,23,"Wa ummatah hi jismah wa hi malaane be gudrat al-Masiih wa l-Masiih gudurtah tamla kulla cheyy.","wa ummatah hi jismah wa hi malaane be gudrat almasiih wa lmasiih gudurtah tamla kulla cheyy"
2,1,"Wa awwal intu maytiin be sabab zunuubku wa khataayaaku wa hassa’ Allah hayyaaku.","wa awwal intu maytiin be sabab zunuubku wa khataayaaku wa hassa allah hayyaaku"
2,2,"Wa fi l-wakit al-faat daak, intu gaa’idiin titaabu’u derib al-dunya wa titaabu’u amiir al-mamlaka al-cheetaaniiye al-gaa’ide been al-sama wa l-ard wa hu al-Cheetaan al-gaa’id bakhdim fi guluub al-naas al-yikhaalufu Allah.","wa fi lwakit alfaat daak intu gaaidiin titaabuu derib aldunya wa titaabuu amiir almamlaka alcheetaaniiye algaaide been alsama wa lard wa hu alcheetaan algaaid bakhdim fi guluub alnaas alyikhaalufu allah"
2,3,"Wa awwal kullina minhum wa nitaabu’u chahwaat al-bachar wa nisawwu al-cheyy al-jisimna wa afkaarna yidooruuh. Awwal aniina zaatna waajib leena khadab Allah misil al-naas al-aakhariin.","wa awwal kullina minhum wa nitaabuu chahwaat albachar wa nisawwu alcheyy aljisimna wa afkaarna yidooruuh awwal aniina zaatna waajib leena khadab allah misil alnaas alaakhariin"
2,4,"Wa laakin rahmat Allah hi aziime wa hu yihibbina be mahabba kabiire bilheen.","wa laakin rahmat allah hi aziime wa hu yihibbina be mahabba kabiire bilheen"
2,5,"Wa wakit aniina maytiin be sabab khataayaana, hu antaana al-haya al-jadiide ma’a l-Masiih. Aywa, be ni’mat Allah bas intu nijiitu.","wa wakit aniina maytiin be sabab khataayaana hu antaana alhaya aljadiide maa lmasiih aywa be nimat allah bas intu nijiitu"
2,6,"Wa Allah ba’asaana ma’aayah wa ga’’adaana ma’aayah fi l-samaawaat wa da bigi leena fi l-Masiih Isa.","wa allah baasaana maaayah wa gaadaana maaayah fi lsamaawaat wa da bigi leena fi lmasiih isa"
2,7,"Wa hu sawwa leena zeen fi l-Masiih Isa achaan fi kulla l-zaman al-jaayi yibayyin rahmatah al-khaniiye bilheen al-ma indaha hadd.","wa hu sawwa leena zeen fi lmasiih isa achaan fi kulla lzaman aljaayi yibayyin rahmatah alkhaniiye bilheen alma indaha hadd"
2,8,"Aywa, be ni’mat Allah bas, intu nijiitu be sabab iimaanku be l-Masiih. Intu ma najjeetu nufuusku. Al-naja hadiiye min Allah.","aywa be nimat allah bas intu nijiitu be sabab iimaanku be lmasiih intu ma najjeetu nufuusku alnaja hadiiye min allah"
2,9,"Ma fi naadum indah hagg yistakbar achaan Allah ma najjaaku be sabab a’maalku al-saalhe.","ma fi naadum indah hagg yistakbar achaan allah ma najjaaku be sabab amaalku alsaalhe"
2,10,"Aniina bigiina misil cheyy jadiid al-Allah sana’ah. Hu sawwaana khaliige jadiide fi l-Masiih Isa achaan nisawwu a’maal al-kheer al-min awwal hu jahhazaahum leena achaan nisawwuuhum.","aniina bigiina misil cheyy jadiid alallah sanaah hu sawwaana khaliige jadiide fi lmasiih isa achaan nisawwu amaal alkheer almin awwal hu jahhazaahum leena achaan nisawwuuhum"
2,11,"Ya akhwaani al-ma Yahuud, fakkuru fi haalitku al-gadiime. Awwal al-Yahuud yuguulu foogku intu khuluf. Wa l-naas al-yuguulu al-kalaam da yuguulu humman bas al-mutahhariin laakin tahuurithum gatti’iin al-jilid al-yisawwuuha be iideen al-naas bas.","ya akhwaani alma yahuud fakkuru fi haalitku algadiime awwal alyahuud yuguulu foogku intu khuluf wa lnaas alyuguulu alkalaam da yuguulu humman bas almutahhariin laakin tahuurithum gattiiin aljilid alyisawwuuha be iideen alnaas bas"
2,12,"Awwal intu ma induku alaakha ma’a l-Masiih. Intu min gabaayil chig ma min Bani Israa’iil, al-cha’ab al-Allah ikhtaaraahum. Al-mu’aahadaat al-Allah sawwaahum ma’a l-Yahuud, hu ma sawwaahum ma’aaku. Wa l-wa’ad al-Allah antaah leehum, intu ma iriftuuh. Intu aaychiin fi l-dunya laakin ma iriftu Allah wa ma induku acham foogah.","awwal intu ma induku alaakha maa lmasiih intu min gabaayil chig ma min bani israaiil alchaab alallah ikhtaaraahum almuaahadaat alallah sawwaahum maa lyahuud hu ma sawwaahum maaaku wa lwaad alallah antaah leehum intu ma iriftuuh intu aaychiin fi ldunya laakin ma iriftu allah wa ma induku acham foogah"
2,13,"Laakin hassa’ induku alaakha ma’a l-Masiih. Intu al-awwal ba’iidiin min Allah, damm al-Masiih daffag fi chaanku wa garrabaaku leyah.","laakin hassa induku alaakha maa lmasiih intu alawwal baiidiin min allah damm almasiih daffag fi chaanku wa garrabaaku leyah"
2,14,"Al-Masiih bas al-jaab leena al-salaam. Aniina al-Yahuud wa intu al-ma Yahuud hu ja’alaana nafar waahid. Be dahiiyat jismah, hu kassar al-huduud al-awwal yifarruguuku minnina wa yisabbubu ambeenaatna al-mukhaasama.","almasiih bas aljaab leena alsalaam aniina alyahuud wa intu alma yahuud hu jaalaana nafar waahid be dahiiyat jismah hu kassar alhuduud alawwal yifarruguuku minnina wa yisabbubu ambeenaatna almukhaasama"
2,15,"Hu battal derib gawaaniin al-Yahuud ma’a churuuthum achaan yikawwin fi l-alaakha ma’aayah nafar jadiid fi badal al-nafareen. Wa misil da, hu sawwa ambeenaatna al-salaam.","hu battal derib gawaaniin alyahuud maa churuuthum achaan yikawwin fi lalaakha maaayah nafar jadiid fi badal alnafareen wa misil da hu sawwa ambeenaatna alsalaam"
2,16,"Hu saalahaana kullina ma’a Allah, al-Yahuud wa l-ma Yahuud, le nabgo umma waahide be mootah fi l-saliib. Wa khalaas, al-mukhaasama al-awwal gaa’ide ambeenaatna bigat ma fiiha.","hu saalahaana kullina maa allah alyahuud wa lma yahuud le nabgo umma waahide be mootah fi lsaliib wa khalaas almukhaasama alawwal gaaide ambeenaatna bigat ma fiiha"
2,17,"Al-Masiih ja wa ballakh bichaarat al-salaam leeku intu al-ma Yahuud al-awwal ba’iidiin min Allah. Wa ballakh bichaarat al-salaam leena al-Yahuud al-gariibiin le Allah.","almasiih ja wa ballakh bichaarat alsalaam leeku intu alma yahuud alawwal baiidiin min allah wa ballakh bichaarat alsalaam leena alyahuud algariibiin le allah"
2,18,"Wa l-Masiih sawwa leena kullina derib waahid achaan nigaddumu nufuusna le Allah Abuuna be l-Ruuh al-Khudduus al-waahid.","wa lmasiih sawwa leena kullina derib waahid achaan nigaddumu nufuusna le allah abuuna be lruuh alkhudduus alwaahid"
2,19,"Wa khalaas, hassa’ intu al-ma Yahuud ma tabgo ajaanib battaan wa la naas min gabiila aakhara. Bigiitu muwaatiniin hana Mamlakat Allah ma’a l-saalihiin. Bigiitu ahal Beet Allah.","wa khalaas hassa intu alma yahuud ma tabgo ajaanib battaan wa la naas min gabiila aakhara bigiitu muwaatiniin hana mamlakat allah maa lsaalihiin bigiitu ahal beet allah"
2,20,"Walla be masal aakhar, Allah ja’alaaku al-beet al-hu saakin foogah. Wa l-asaas al-Allah banaaku foogah, hu kalaam al-rusul wa l-anbiya. Wa l-Masiih hu al-hajar al-gawi al-gaa’id fi l-rukun al-yarbut al-asaas.","walla be masal aakhar allah jaalaaku albeet alhu saakin foogah wa lasaas alallah banaaku foogah hu kalaam alrusul wa lanbiya wa lmasiih hu alhajar algawi algaaid fi lrukun alyarbut alasaas"
2,21,"Be alaakhitna ma’a l-Masiih bas, kullina anrabatna sawa wa nabgo misil beet waahid al-gaa’id yakbur lahaddi yabga beet mukhaddas hana l-ibaada wa maskan khaass le l-Rabb.","be alaakhitna maa lmasiih bas kullina anrabatna sawa wa nabgo misil beet waahid algaaid yakbur lahaddi yabga beet mukhaddas hana libaada wa maskan khaass le lrabb"
2,22,"Be alaakhitku ma’a l-Masiih, Allah gaa’id yabni beetah beeku intu kula ma’a kulla l-saalihiin achaan tabgo al-bakaan al-Allah yaskun foogah be Ruuhah.","be alaakhitku maa lmasiih allah gaaid yabni beetah beeku intu kula maa kulla lsaalihiin achaan tabgo albakaan alallah yaskun foogah be ruuhah"
3,1,"Achaan da, ana Buulus al-gaa’id fi l-sijin achaan nitaabi’ al-Masiih Isa wa niballikh bichaartah leeku intu al-ma Yahuud, ana nas’al leeku Allah.","achaan da ana buulus algaaid fi lsijin achaan nitaabi almasiih isa wa niballikh bichaartah leeku intu alma yahuud ana nasal leeku allah"
3,2,"Wa akiid, simi’tu be ni’mat Allah al-gaa’ide foogi le nisawwi al-khidme al-Allah kallafaani beeha fi chaanku.","wa akiid simitu be nimat allah algaaide foogi le nisawwi alkhidme alallah kallafaani beeha fi chaanku"
3,3,"Wa khidimti tukhuss sirr Allah al-bayyanah leyi fi ru’ya. Wa gibeel katabt leeku minnah.","wa khidimti tukhuss sirr allah albayyanah leyi fi ruya wa gibeel katabt leeku minnah"
3,4,"Wakit tagru kalaami da, tafhamo al-ilim al-ligiitah min sirr Allah al-bukhuss al-Masiih.","wakit tagru kalaami da tafhamo alilim alligiitah min sirr allah albukhuss almasiih"
3,5,"Fi kulla l-wakit al-faat, Allah ma bayyan al-kalaam da le Bani Adam laakin fi l-wakit al-haadir bayyanah be l-Ruuh al-Khudduus le l-rusul wa l-anbiya al-saalihiin al-rassalaahum.","fi kulla lwakit alfaat allah ma bayyan alkalaam da le bani adam laakin fi lwakit alhaadir bayyanah be lruuh alkhudduus le lrusul wa lanbiya alsaalihiin alrassalaahum"
3,6,"Wa daahu sirr Allah, be bichaarat al-Masiih, al-umam yabgo wurraas sawa ma’a l-Yahuud. Yabgo umma waahide al-hi jisim al-Masiih. Wa khalaas fi l-Masiih, humman yichaaruku fi l-baraka al-Allah waa’ad beeha.","wa daahu sirr allah be bichaarat almasiih alumam yabgo wurraas sawa maa lyahuud yabgo umma waahide alhi jisim almasiih wa khalaas fi lmasiih humman yichaaruku fi lbaraka alallah waaad beeha"
3,7,"Allah nazzal foogi ni’matah wa ja’alaani khaddaamah be gudurtah achaan niballikh al-bichaara di.","allah nazzal foogi nimatah wa jaalaani khaddaamah be gudurtah achaan niballikh albichaara di"
3,8,"Wa min kulla l-saalihiin, ana bas al-sakhayyar wa laakin Allah antaani ni’ma wa kallafaani ana be ballikhiin al-bichaara le l-umam wa nibachchirhum be barakat al-Masiih al-ma indaha hadd.","wa min kulla lsaalihiin ana bas alsakhayyar wa laakin allah antaani nima wa kallafaani ana be ballikhiin albichaara le lumam wa nibachchirhum be barakat almasiih alma indaha hadd"
3,9,"Wa rassalaani achaan nifassir le kulla l-naas ma’ana sirr Allah. Wa Allah al-khaalig kulla cheyy hafad al-sirr da le nafsah fi kulla l-zaman al-faat.","wa rassalaani achaan nifassir le kulla lnaas maana sirr allah wa allah alkhaalig kulla cheyy hafad alsirr da le nafsah fi kulla lzaman alfaat"
3,10,"Wa hikmat Allah wasii’e wa ajiibe. Wa fi l-zaman al-haadir, Allah yidoor yiwassif hikmatah be amalah fi usut ummat al-Masiih achaan kulla l-hukkaam wa l-kubaaraat al-gaa’idiin fi l-samaawaat yichiifuuha wa yafhamooha.","wa hikmat allah wasiie wa ajiibe wa fi lzaman alhaadir allah yidoor yiwassif hikmatah be amalah fi usut ummat almasiih achaan kulla lhukkaam wa lkubaaraat algaaidiin fi lsamaawaat yichiifuuha wa yafhamooha"
3,11,"Wa di bas niiyit Allah min al-bidaaya al-tammamaaha be l-Masiih Isa Rabbina.","wa di bas niiyit allah min albidaaya altammamaaha be lmasiih isa rabbina"
3,12,"Wa be sabab alaakhitna ma’a l-Masiih wa iimaanna beyah, indina chajaa’a achaan na’abudu Allah bala chakak.","wa be sabab alaakhitna maa lmasiih wa iimaanna beyah indina chajaaa achaan naabudu allah bala chakak"
3,13,"Wa achaan kulla l-kalaam da, natlub minku ma tahzano leyi fi su’uubaati. Ana gaa’id nat’ab misil da fi chaanku intu wa da yabga le faayditku al-majiide.","wa achaan kulla lkalaam da natlub minku ma tahzano leyi fi suuubaati ana gaaid natab misil da fi chaanku intu wa da yabga le faayditku almajiide"
3,14,"Wa achaan da, nasjud giddaam Abuuna Allah.","wa achaan da nasjud giddaam abuuna allah"
3,15,"Wa hu abu al-abbahaat le kulla jamaa’tah al-fi l-samaawaat wa l-ard.","wa hu abu alabbahaat le kulla jamaatah alfi lsamaawaat wa lard"
3,16,"Wa nas’alah achaan yantiiku baraka min al-khina al-indah fi l-majd wa yantiiku gudra wa yigawwi guluubku be l-Ruuh al-Khudduus.","wa nasalah achaan yantiiku baraka min alkhina alindah fi lmajd wa yantiiku gudra wa yigawwi guluubku be lruuh alkhudduus"
3,17,"Wa khalli al-Masiih yaskun fi guluubku be iimaanku. Wa khalli al-mahabba tabga leeku misil ga’ar wa asaas lahaddi tisawwu kulla cheyy be l-mahabba.","wa khalli almasiih yaskun fi guluubku be iimaanku wa khalli almahabba tabga leeku misil gaar wa asaas lahaddi tisawwu kulla cheyy be lmahabba"
3,18,"Wa misil da, talgo al-gudra al-beeha tafhamo ma’a kulla l-saalihiin kadar mahabbat al-Masiih wasii’e bilheen wa kabiire bilheen wa ma indaha hadd.","wa misil da talgo algudra albeeha tafhamo maa kulla lsaalihiin kadar mahabbat almasiih wasiie bilheen wa kabiire bilheen wa ma indaha hadd"
3,19,"Wa be misil da, ta’arfu mahabbitah al-faayte kulla l-ilim. Wa barakat Allah al-kaamile tamla guluubku marra waahid.","wa be misil da taarfu mahabbitah alfaayte kulla lilim wa barakat allah alkaamile tamla guluubku marra waahid"
3,20,"Wa l-hamdulillah. Be gudurtah al-gaa’ide foogna, Allah yagdar yisawwi ziyaada min kulla cheyy al-nas’alooh minnah wa ziyaada bilheen min ayyi cheyy al-gaa’id fi fikirna.","wa lhamdulillah be gudurtah algaaide foogna allah yagdar yisawwi ziyaada min kulla cheyy alnasalooh minnah wa ziyaada bilheen min ayyi cheyy algaaid fi fikirna"
3,21,"Wa khalli yimajjudu Allah daayman fi ust al-umma wa fi l-Masiih Isa ila l-abad. Aamiin.","wa khalli yimajjudu allah daayman fi ust alumma wa fi lmasiih isa ila labad aamiin"
4,1,"Achaan kulla l-kalaam da, ana al-masjuun hini fi chaan Rabbina niwassiiku, iichu be l-haal al-waajbe le l-naas al-Allah naadaahum.","achaan kulla lkalaam da ana almasjuun hini fi chaan rabbina niwassiiku iichu be lhaal alwaajbe le lnaas alallah naadaahum"
4,2,"Abgo daayman daluuliin. Wa sawwu kulla cheyy be nafas baarid. Wa abgo daayman sabuuriin. Wa sabburu nafisku ambeenaatku be l-mahabba.","abgo daayman daluuliin wa sawwu kulla cheyy be nafas baarid wa abgo daayman sabuuriin wa sabburu nafisku ambeenaatku be lmahabba"
4,3,"Al-Ruuh al-Khudduus ja’alaaku cha’ab waahid. Wa jaahudu achaan al-wihda ma tatlaf. Wa ahfado al-wihda di be l-salaam.","alruuh alkhudduus jaalaaku chaab waahid wa jaahudu achaan alwihda ma tatlaf wa ahfado alwihda di be lsalaam"
4,4,"Jisim al-Masiih waahid bas wa l-Ruuh al-Khudduus hu kula waahid bas. Wa misil da, al-warasa al-Allah naadaaku achaan talgooha kula waahide.","jisim almasiih waahid bas wa lruuh alkhudduus hu kula waahid bas wa misil da alwarasa alallah naadaaku achaan talgooha kula waahide"
4,5,"Wa Rabbina hu waahid wa iimaanna waahid wa kullina khattasoona be nafs al-khattisiin.","wa rabbina hu waahid wa iimaanna waahid wa kullina khattasoona be nafs alkhattisiin"
4,6,"Wa Allah hu waahid wa hu Abuuna kullina. Wa hu Rabb kulla cheyy wa gaa’id foogna kullina wa mawjuud ma’aana kullina.","wa allah hu waahid wa hu abuuna kullina wa hu rabb kulla cheyy wa gaaid foogna kullina wa mawjuud maaana kullina"
4,7,"Wa laakin ayyi waahid minnina ligi atiiye khaassa min al-Masiih al-antaaha hasab ni’matah achaan beeha nakhdumu leyah.","wa laakin ayyi waahid minnina ligi atiiye khaassa min almasiih alantaaha hasab nimatah achaan beeha nakhdumu leyah"
4,8,"Wa achaan da, al-Kitaab buguul ‹Wakit hu tala’ foog fi l-bakaan al-aali, hu chaal ma’aayah masaajiin katiiriin wa anta le l-naas ataaya›.","wa achaan da alkitaab buguul wakit hu tala foog fi lbakaan alaali hu chaal maaayah masaajiin katiiriin wa anta le lnaas ataaya"
4,9,"Wa «hu tala’ foog» ma’anaatah chunu ? Ma’anaatah al-Masiih awwal nazal tihit wa dakhal fi lubb al-ard.","wa hu tala foog maanaatah chunu  maanaatah almasiih awwal nazal tihit wa dakhal fi lubb alard"
4,10,"Wa l-nazal da, hu bas al-tala’ foog fi l-samaawaat achaan gudurtah tamla kulla cheyy.","wa lnazal da hu bas altala foog fi lsamaawaat achaan gudurtah tamla kulla cheyy"
4,11,"Wa hu bas al-anta ataaya le l-naas. Wa naas waahidiin hu ja’alaahum rusul wa waahidiin ja’alaahum anbiya wa waahidiin ja’alaahum mubachchiriin wa waahidiin ja’alaahum chuyuukh wa mu’allimiin.","wa hu bas alanta ataaya le lnaas wa naas waahidiin hu jaalaahum rusul wa waahidiin jaalaahum anbiya wa waahidiin jaalaahum mubachchiriin wa waahidiin jaalaahum chuyuukh wa muallimiin"
4,12,"Wa antaahum ataaya achaan humman yijahhuzu cha’abah al-saalihiin le yakhdumu leyah fi chaan ummat al-Masiih tabga gawiiye.","wa antaahum ataaya achaan humman yijahhuzu chaabah alsaalihiin le yakhdumu leyah fi chaan ummat almasiih tabga gawiiye"
4,13,"Wa yisawwu khidmithum lahaddi kullina sawa nalhago al-wihda fi l-iimaan wa na’arfu Ibn Allah tamaam. Wa kullina nabgo aagliin lahaddi ayyi waahid yabga tamaam misil al-Masiih hu tamaam.","wa yisawwu khidmithum lahaddi kullina sawa nalhago alwihda fi liimaan wa naarfu ibn allah tamaam wa kullina nabgo aagliin lahaddi ayyi waahid yabga tamaam misil almasiih hu tamaam"
4,14,"Wa misil da, ma nabgo battaan misil iyaal ma induhum sabaat. Humman misil maraakib dugaag fi l-bahar. Ma induhum gudra foog al-challaal al-biwaddiihum wa la l-riih al-tusuughum, awwal fi nuss waahid wa ba’adeen fi nuss aakhar. Wa fi l-masal da, al-riih wa l-challaal humman al-ta’liim al-ma sahiih al-waahidiin yi’allumu beyah wa l-najaada al-yukhuchchu beeha al-naas wa yiwadduruuhum.","wa misil da ma nabgo battaan misil iyaal ma induhum sabaat humman misil maraakib dugaag fi lbahar ma induhum gudra foog alchallaal albiwaddiihum wa la lriih altusuughum awwal fi nuss waahid wa baadeen fi nuss aakhar wa fi lmasal da alriih wa lchallaal humman altaliim alma sahiih alwaahidiin yiallumu beyah wa lnajaada alyukhuchchu beeha alnaas wa yiwadduruuhum"
4,15,"Akheer niballukhu al-hagg be mahabba wa misil da nakburu nabgo aagliin fi kulla cheyy be alaakhitna ma’a l-Masiih. Hu bas raasna","akheer niballukhu alhagg be mahabba wa misil da nakburu nabgo aagliin fi kulla cheyy be alaakhitna maa lmasiih hu bas raasna"
4,16,"wa beyah hu al-jisim yabga waahid wa kulla l-mafaasil yinrabtu ambeenaathum. Wa wakit ayyi udu yisawwi khidimtah adiil, al-jisim al-kaamil yakbur wa yabga gawi be l-mahabba.","wa beyah hu aljisim yabga waahid wa kulla lmafaasil yinrabtu ambeenaathum wa wakit ayyi udu yisawwi khidimtah adiil aljisim alkaamil yakbur wa yabga gawi be lmahabba"
4,17,"Niwassiiku be usum al-Rabb, asma’o kalaami adiil. Ma ti’iichu battaan misil al-naas al-ma ba’arfu Allah. Humman yitaabu’u al-fikir al-baatil.","niwassiiku be usum alrabb asmao kalaami adiil ma tiiichu battaan misil alnaas alma baarfu allah humman yitaabuu alfikir albaatil"
4,18,"Wa gaa’idiin fi l-dalaam wa ma faahimiin al-hagg. Wa ma ya’arfu al-haya al-Allah yidoor yantiiha leehum achaan al-jahal gaa’id fooghum wa raashum bigi gawi.","wa gaaidiin fi ldalaam wa ma faahimiin alhagg wa ma yaarfu alhaya alallah yidoor yantiiha leehum achaan aljahal gaaid fooghum wa raashum bigi gawi"
4,19,"Guluubhum maytiin wa sallamo nufuushum le chahwaathum al-fasliin. Be niiye waahide yitaabu’u al-haal al-cheene.","guluubhum maytiin wa sallamo nufuushum le chahwaathum alfasliin be niiye waahide yitaabuu alhaal alcheene"
4,20,"Wa laakin intu allamtu min ta’liim al-Masiih haal chig min di.","wa laakin intu allamtu min taliim almasiih haal chig min di"
4,21,"Akiid, kalaam al-Masiih simi’tuuh wa be alaakhitku ma’aayah allamtu al-hagg achaan al-hagg gaa’id foog Isa.","akiid kalaam almasiih simituuh wa be alaakhitku maaayah allamtu alhagg achaan alhagg gaaid foog isa"
